a,b,c
22,27,28
-43,40,-13
-48,44,-26
22,-4,-18
-7,22,48
25,25,-6
-21,-25,-18
-19,-17,46
-49,10,-9
36,48,36
-14,-9,-46
-50,-22,-46
-47,-49,36
12,-39,36
-39,48,9
-31,-30,6
11,-38,-30
43,-25,-18
-8,1,-13
27,-32,40
-44,-48,26
-10,5,39
-42,-46,-49
-39,-19,-44
45,-13,-42
-24,31,-29
-24,50,-27
12,-50,-34
-33,25,5
5,-32,-3
27,31,45
13,-18,38
17,-3,30
43,-16,-31
27,20,-29
-37,15,2
-31,35,37
22,41,30
-47,-8,2
14,24,-14
37,-34,38
-31,-17,-50
11,9,3
24,-31,44
-18,-25,-24
29,1,-39
-14,46,-23
-28,12,42
-39,-15,-46
7,44,-13
49,27,-40
33,-42,-4
-47,12,19
8,16,-31
45,-50,21
-1,33,1
25,-38,18
9,-5,19
-2,-50,-34
35,34,42
-19,-10,-32
-40,-40,46
-44,-48,9
46,32,-44
29,10,-6
47,40,-16
-17,-46,-36
18,-5,-49
24,29,-1
45,8,0
-44,47,30
24,-27,-27
-26,-42,11
-43,-49,-34
-12,39,-41
0,-38,-24
-26,20,1
-11,1,-36
18,29,-33
43,24,-35
-9,6,43
-14,33,-37
48,-23,-6
-5,-43,30
-1,-43,6
-4,19,-39
8,-17,-49
43,31,-13
18,-41,-32
-39,27,-20
-19,11,-9
43,31,-34
27,18,-18
2,-21,-15
21,-33,-30
14,18,43
45,45,3
-21,-22,-35
34,24,-19
-45,-30,33
